Name,Season,Team,wRC+
Greg Allen,2019,CLE,67.0
Willie Calhoun,2019,TEX,110.0
Jeimer Candelario,2019,DET,73.0
Renato Nunez,2019,BAL,99.0
Domingo Santana,2019,SEA,107.0
Tim Beckham,2019,SEA,99.0
Pedro Severino,2019,BAL,94.0
Josh VanMeter,2019,CIN,88.0
Josh Phegley,2019,OAK,83.0
Ian Kinsler,2019,SDP,71.0
Jose Martinez,2019,STL,102.0
Austin Riley,2019,ATL,85.0
Harold Ramirez,2019,MIA,92.0
Ronny Rodriguez,2019,DET,73.0
Jesus Aguilar,2019,- - -,89.0
Harold Castro,2019,DET,79.0
Brandon Drury,2019,TOR,66.0
Juan Lagares,2019,NYM,61.0
Ian Desmond,2019,COL,88.0
Jose Osuna,2019,PIT,96.0
Matt Adams,2019,WSN,85.0
Raimel Tapia,2019,COL,74.0
Garrett Hampson,2019,COL,64.0
Gerardo Parra,2019,- - -,74.0
Rio Ruiz,2019,BAL,79.0
Dawel Lugo,2019,DET,66.0
Miguel Cabrera,2019,DET,97.0
Albert Pujols,2019,LAA,90.0
Justin Upton,2019,LAA,89.0
Josh Naylor,2019,SDP,90.0
Melky Cabrera,2019,PIT,84.0
Tony Wolters,2019,COL,63.0
Jonathan Lucroy,2019,- - -,74.0
Jose Peraza,2019,CIN,59.0
Nicky Lopez,2019,KCR,56.0
Billy Hamilton,2019,- - -,49.0
Rowdy Tellez,2019,TOR,91.0
Adam Jones,2019,ARI,87.0
Billy McKinney,2019,TOR,80.0
Leonys Martin,2019,CLE,64.0
Didi Gregorius,2019,NYY,84.0
Richie Martin,2019,BAL,50.0
Dwight Smith Jr.,2019,BAL,83.0
Maikel Franco,2019,PHI,69.0
Logan Forsythe,2019,TEX,75.0
Albert Almora Jr.,2019,CHC,62.0
Steven Duggar,2019,SFG,63.0
Tyler White,2019,- - -,70.0
Daniel Murphy,2019,COL,88.0
Ronald Guzman,2019,TEX,80.0
Christin Stewart,2019,DET,80.0
Jake Bauers,2019,CLE,82.0
Cheslor Cuthbert,2019,KCR,74.0
Stevie Wilkerson,2019,BAL,73.0
Eric Hosmer,2019,SDP,92.0
Orlando Arcia,2019,MIL,61.0
Welington Castillo,2019,CHW,77.0
Khris Davis,2019,OAK,81.0
Ryan O'Hearn,2019,KCR,68.0
Curtis Granderson,2019,MIA,70.0
Yonder Alonso,2019,- - -,66.0
John Hicks,2019,DET,57.0
Chris Davis,2019,BAL,58.0
Martin Prado,2019,MIA,49.0
Travis Shaw,2019,MIL,47.0
Elias Diaz,2019,PIT,61.0
Fernando Tatis Jr.,2020,SDP,151.0
Jose Ramirez,2020,CLE,167.0
Freddie Freeman,2020,ATL,186.0
Jose Abreu,2020,CHW,164.0
Trea Turner,2020,WSN,159.0
Manny Machado,2020,SDP,150.0
Marcell Ozuna,2020,ATL,178.0
Trent Grisham,2020,SDP,122.0
Dansby Swanson,2020,ATL,115.0
Trevor Story,2020,COL,117.0
Cesar Hernandez,2020,CLE,112.0
Francisco Lindor,2020,CLE,105.0
Whit Merrifield,2020,KCR,105.0
Cavan Biggio,2020,TOR,122.0
Starling Marte,2020,- - -,108.0
Carlos Santana,2020,CLE,99.0
Trea Turner,2021,- - -,143.0
Juan Soto,2021,WSN,164.0
Fernando Tatis Jr.,2021,SDP,158.0
Bryce Harper,2021,PHI,170.0
Jose Ramirez,2021,CLE,140.0
Vladimir Guerrero Jr.,2021,TOR,166.0
Bryan Reynolds,2021,PIT,140.0
Carlos Correa,2021,HOU,133.0
Brandon Crawford,2021,SFG,140.0
Cedric Mullins,2021,BAL,136.0
Marcus Semien,2021,TOR,131.0
Aaron Judge,2021,NYY,150.0
Nicky Lopez,2021,KCR,104.0
Tyler O'Neill,2021,STL,143.0
Buster Posey,2021,SFG,141.0
Starling Marte,2021,- - -,132.0
Jose Altuve,2021,HOU,128.0
Austin Riley,2021,ATL,136.0
Shohei Ohtani,2021,LAA,150.0
Matt Olson,2021,OAK,147.0
Kyle Tucker,2021,HOU,146.0
Bo Bichette,2021,TOR,122.0
Paul Goldschmidt,2021,STL,136.0
Freddie Freeman,2021,ATL,136.0
Will Smith,2021,LAD,130.0
J.T. Realmuto,2021,PHI,109.0
Max Muncy,2021,LAD,139.0
Brandon Lowe,2021,TBR,136.0
Manny Machado,2021,SDP,123.0
Ronald Acuna Jr.,2021,ATL,157.0
Joey Gallo,2021,- - -,123.0
Nolan Arenado,2021,STL,112.0
Tim Anderson,2021,CHW,118.0
Rafael Devers,2021,BOS,133.0
Byron Buxton,2021,MIN,171.0
Xander Bogaerts,2021,BOS,129.0
Mike Zunino,2021,TBR,133.0
Javier Baez,2021,- - -,117.0
Teoscar Hernandez,2021,TOR,132.0
Justin Turner,2021,LAD,126.0
Jorge Polanco,2021,MIN,124.0
Mookie Betts,2021,LAD,131.0
Randy Arozarena,2021,TBR,127.0
Jeimer Candelario,2021,DET,119.0
Francisco Lindor,2021,NYM,101.0
Corey Seager,2021,LAD,146.0
Nick Castellanos,2021,CIN,140.0
Jake Cronenworth,2021,SDP,117.0
Ozzie Albies,2021,ATL,108.0
Yoan Moncada,2021,CHW,120.0
Matt Chapman,2021,OAK,101.0
Brandon Belt,2021,SFG,159.0
Yasmani Grandal,2021,CHW,157.0
Enrique Hernandez,2021,BOS,109.0
Joey Votto,2021,CIN,140.0
Yordan Alvarez,2021,HOU,137.0
Pete Alonso,2021,NYM,131.0
Jean Segura,2021,PHI,110.0
Luis Robert Jr.,2021,CHW,155.0
Jonathan India,2021,CIN,122.0
Josh Donaldson,2021,MIN,126.0
Yuli Gurriel,2021,HOU,133.0
Adam Frazier,2021,- - -,113.0
Dansby Swanson,2021,ATL,99.0
Sean Murphy,2021,OAK,100.0
Jesse Winker,2021,CIN,148.0
A.J. Pollock,2021,LAD,137.0
Brandon Nimmo,2021,NYM,135.0
Ty France,2021,SEA,129.0
Kris Bryant,2021,- - -,124.0
Willy Adames,2021,- - -,120.0
Joey Wendle,2021,TBR,105.0
J.P. Crawford,2021,SEA,103.0
Jacob Stallings,2021,PIT,92.0
Myles Straw,2021,- - -,98.0
Giancarlo Stanton,2021,NYY,138.0
Tony Kemp,2021,OAK,128.0
Tommy Edman,2021,STL,89.0
Darin Ruf,2021,SFG,144.0
Harrison Bader,2021,STL,108.0
Max Stassi,2021,LAA,105.0
Mark Canha,2021,OAK,116.0
Jose Abreu,2021,CHW,125.0
Chris Taylor,2021,LAD,113.0
Omar Narvaez,2021,MIL,100.0
Adolis Garcia,2021,TEX,99.0
Amed Rosario,2021,CLE,102.0
Kevin Kiermaier,2021,TBR,101.0
Kyle Schwarber,2021,- - -,145.0
J.D. Martinez,2021,BOS,126.0
Salvador Perez,2021,KCR,125.0
Willson Contreras,2021,CHC,111.0
George Springer,2021,TOR,140.0
Hunter Renfroe,2021,BOS,113.0
Kolten Wong,2021,MIL,109.0
Robbie Grossman,2021,DET,114.0
Trent Grisham,2021,SDP,104.0
Whit Merrifield,2021,KCR,89.0
Eduardo Escobar,2021,- - -,108.0
Ryan McMahon,2021,COL,93.0
Ketel Marte,2021,ARI,141.0
Jared Walsh,2021,LAA,126.0
Wander Franco,2021,TBR,126.0
Dylan Carlson,2021,STL,111.0
C.J. Cron,2021,COL,125.0
Patrick Wisdom,2021,CHC,117.0
Avisail Garcia,2021,MIL,115.0
Luis Urias,2021,MIL,112.0
Adam Duvall,2021,- - -,101.0
Josh Harrison,2021,- - -,104.0
Kyle Seager,2021,SEA,98.0
Josh Bell,2021,WSN,119.0
Trevor Story,2021,COL,98.0
Anthony Rizzo,2021,- - -,114.0
Wil Myers,2021,SDP,111.0
Jonathan Schoop,2021,DET,105.0
Brett Phillips,2021,TBR,102.0
Yan Gomes,2021,- - -,94.0
Max Kepler,2021,MIN,97.0
Mitch Haniger,2021,SEA,120.0
Michael Brantley,2021,HOU,121.0
Alex Bregman,2021,HOU,114.0
Mike Yastrzemski,2021,SFG,106.0
Chas McCormick,2021,HOU,108.0
Kyle Farmer,2021,CIN,91.0
DJ LeMahieu,2021,NYY,101.0
Manuel Margot,2021,TBR,94.0
Frank Schwindel,2021,- - -,154.0
Evan Longoria,2021,SFG,123.0
Nathaniel Lowe,2021,TEX,114.0
Jonathan Villar,2021,NYM,103.0
Edmundo Sosa,2021,STL,102.0
Rhys Hoskins,2021,PHI,127.0
Nelson Cruz,2021,- - -,123.0
LaMonte Wade Jr.,2021,SFG,118.0
Wilmer Flores,2021,SFG,114.0
Alex Verdugo,2021,BOS,106.0
Steven Duggar,2021,SFG,107.0
Miguel Rojas,2021,MIA,93.0
Ke'Bryan Hayes,2021,PIT,85.0
Michael A. Taylor,2021,KCR,75.0
Tyler Stephenson,2021,CIN,111.0
Austin Hays,2021,BAL,106.0
Ramon Laureano,2021,OAK,112.0
Daulton Varsho,2021,ARI,100.0
Josh Rojas,2021,ARI,103.0
Jazz Chisholm Jr.,2021,MIA,94.0
Jose Iglesias,2021,- - -,89.0
Franmil Reyes,2021,CLE,128.0
Lourdes Gurriel Jr.,2021,TOR,107.0
Elias Diaz,2021,COL,91.0
Akil Baddoo,2021,DET,108.0
Carson Kelly,2021,ARI,104.0
Yandy Diaz,2021,TBR,110.0
Rafael Ortega,2021,CHC,122.0
Luis Arraez,2021,MIN,105.0
Isiah Kiner-Falefa,2021,TEX,84.0
Elvis Andrus,2021,OAK,73.0
Andrew McCutchen,2021,PHI,108.0
Austin Meadows,2021,TBR,112.0
Ian Happ,2021,CHC,105.0
Austin Slater,2021,SFG,103.0
Michael Conforto,2021,NYM,104.0
Lorenzo Cain,2021,MIL,98.0
David Peralta,2021,ARI,95.0
Aledmys Diaz,2021,HOU,97.0
Leury Garcia,2021,CHW,96.0
Cesar Hernandez,2021,- - -,91.0
Tucker Barnhart,2021,CIN,81.0
Yadier Molina,2021,STL,81.0
Nick Ahmed,2021,ARI,66.0
Tyler Naquin,2021,CIN,110.0
Andrew Benintendi,2021,KCR,104.0
Donovan Solano,2021,SFG,105.0
Alcides Escobar,2021,WSN,102.0
Christian Yelich,2021,MIL,102.0
Odubel Herrera,2021,PHI,93.0
Gleyber Torres,2021,NYY,96.0
Bradley Zimmer,2021,CLE,91.0
Jesus Aguilar,2021,MIA,107.0
Tyrone Taylor,2021,MIL,107.0
Paul DeJong,2021,STL,84.0
Rougned Odor,2021,NYY,84.0
Brendan Rodgers,2021,COL,98.0
Matt Duffy,2021,CHC,104.0
Francisco Mejia,2021,TBR,107.0
Gio Urshela,2021,NYY,97.0
Nick Solak,2021,TEX,88.0
Ryan Jeffers,2021,MIN,83.0
Ramon Urias,2021,BAL,115.0
Ji-Man Choi,2021,TBR,117.0
Andy Ibanez,2021,TEX,106.0
Seth Brown,2021,OAK,104.0
Gary Sanchez,2021,NYY,101.0
Tommy Pham,2021,SDP,103.0
Jake Fraley,2021,SEA,109.0
Jeff McNeil,2021,NYM,91.0
Dylan Moore,2021,SEA,74.0
Jesus Sanchez,2021,MIA,111.0
Eric Haase,2021,DET,100.0
Brian Anderson,2021,MIA,95.0
Freddy Galvis,2021,- - -,90.0
Gavin Lux,2021,LAD,90.0
Brett Gardner,2021,NYY,95.0
Charlie Culberson,2021,TEX,84.0
Christian Vazquez,2021,BOS,76.0
Niko Goodrum,2021,DET,79.0
Jose Trevino,2021,TEX,63.0
Miguel Sano,2021,MIN,112.0
Trey Mancini,2021,BAL,105.0
Lane Thomas,2021,- - -,104.0
Eddie Rosario,2021,- - -,100.0
Eric Hosmer,2021,SDP,104.0
Jed Lowrie,2021,OAK,101.0
Sergio Alcantara,2021,CHC,73.0
Andrelton Simmons,2021,MIN,58.0
Garrett Cooper,2021,MIA,129.0
Ryan Mountcastle,2021,BAL,111.0
Corey Dickerson,2021,- - -,97.0
Jace Peterson,2021,MIL,98.0
Starlin Castro,2021,WSN,91.0
Yu Chang,2021,CLE,87.0
David Fletcher,2021,LAA,69.0
Brad Miller,2021,PHI,106.0
Pavin Smith,2021,ARI,98.0
Guillermo Heredia,2021,ATL,79.0
Jonah Heim,2021,TEX,59.0
Randal Grichuk,2021,TOR,85.0
Kevin Pillar,2021,NYM,88.0
Brandon Marsh,2021,LAA,85.0
Jack Mayfield,2021,- - -,78.0
Tom Murphy,2021,SEA,87.0
Bobby Dalbec,2021,BOS,106.0
Raimel Tapia,2021,COL,75.0
Ryan Zimmerman,2021,WSN,98.0
Josh Naylor,2021,CLE,93.0
Hanser Alberto,2021,KCR,83.0
Dom Nunez,2021,COL,68.0
Abraham Toro,2021,- - -,94.0
Ronald Torreyes,2021,PHI,69.0
Ha-seong Kim,2021,SDP,71.0
Bobby Bradley,2021,CLE,101.0
Joc Pederson,2021,- - -,96.0
Christian Walker,2021,ARI,88.0
Yonathan Daza,2021,COL,74.0
James McCann,2021,NYM,78.0
Martin Maldonado,2021,HOU,61.0
Austin Hedges,2021,CLE,42.0
Yadiel Hernandez,2021,WSN,99.0
Luis Torrens,2021,SEA,101.0
Alex Dickerson,2021,SFG,98.0
Justin Upton,2021,LAA,91.0
Trevor Larnach,2021,MIN,91.0
Garrett Hampson,2021,COL,64.0
Jon Berti,2021,MIA,74.0
Yermin Mercedes,2021,CHW,100.0
Albert Pujols,2021,- - -,89.0
D.J. Stewart,2021,BAL,94.0
Jason Heyward,2021,CHC,70.0
Jorge Alfaro,2021,MIA,68.0
Willi Castro,2021,DET,69.0
Jorge Soler,2021,- - -,100.0
Daniel Vogelbach,2021,MIL,102.0
Eugenio Suarez,2021,CIN,85.0
Brian Goodwin,2021,CHW,92.0
Alec Bohm,2021,PHI,76.0
Billy McKinney,2021,- - -,73.0
Victor Caratini,2021,SDP,74.0
Kelvin Gutierrez,2021,- - -,66.0
Charlie Blackmon,2021,COL,93.0
Ben Gamel,2021,- - -,99.0
Mitch Moreland,2021,OAK,94.0
Asdrubal Cabrera,2021,- - -,83.0
Phil Gosselin,2021,LAA,85.0
Colin Moran,2021,PIT,96.0
Anthony Santander,2021,BAL,92.0
Harold Ramirez,2021,CLE,93.0
Yoshi Tsutsugo,2021,- - -,88.0
Josh VanMeter,2021,ARI,77.0
Brock Holt,2021,TEX,61.0
Rowdy Tellez,2021,- - -,89.0
Andrew Vaughn,2021,CHW,93.0
Cavan Biggio,2021,TOR,84.0
Jurickson Profar,2021,SDP,87.0
Lewis Brinson,2021,MIA,69.0
David Bote,2021,CHC,66.0
Victor Robles,2021,WSN,69.0
Jake Bauers,2021,- - -,63.0
Juan Lagares,2021,LAA,70.0
Kevin Newman,2021,PIT,52.0
Miguel Cabrera,2021,DET,92.0
Willie Calhoun,2021,TEX,90.0
Harold Castro,2021,DET,83.0
Travis Shaw,2021,- - -,78.0
Jarred Kelenic,2021,SEA,73.0
Ryan O'Hearn,2021,KCR,68.0
Maikel Franco,2021,BAL,62.0
Adam Eaton,2021,- - -,68.0
Marwin Gonzalez,2021,- - -,57.0
Pedro Severino,2021,BAL,87.0
Carlos Santana,2021,KCR,81.0
Pat Valaika,2021,BAL,46.0
Hunter Dozier,2021,KCR,80.0
Dominic Smith,2021,NYM,84.0
Didi Gregorius,2021,PHI,69.0
Gregory Polanco,2021,PIT,69.0
Joshua Fuentes,2021,COL,46.0
Cody Bellinger,2021,LAD,47.0
Isan Diaz,2021,MIA,55.0
Joe Panik,2021,- - -,49.0
Jackie Bradley Jr.,2021,MIL,36.0
Aaron Judge,2022,NYY,206.0
Nolan Arenado,2022,STL,149.0
Manny Machado,2022,SDP,152.0
Jose Altuve,2022,HOU,164.0
Paul Goldschmidt,2022,STL,175.0
Freddie Freeman,2022,LAD,157.0
J.T. Realmuto,2022,PHI,129.0
Dansby Swanson,2022,ATL,117.0
Yordan Alvarez,2022,HOU,185.0
Trea Turner,2022,LAD,128.0
Francisco Lindor,2022,NYM,124.0
Andres Gimenez,2022,CLE,141.0
Mike Trout,2022,LAA,176.0
Mookie Betts,2022,LAD,144.0
Jose Ramirez,2022,CLE,140.0
Xander Bogaerts,2022,BOS,133.0
Austin Riley,2022,ATL,144.0
Julio Rodriguez,2022,SEA,148.0
Adley Rutschman,2022,BAL,133.0
Jeff McNeil,2022,NYM,140.0
Brandon Nimmo,2022,NYM,132.0
Alex Bregman,2022,HOU,137.0
Tommy Edman,2022,STL,106.0
Sean Murphy,2022,OAK,121.0
Rafael Devers,2022,BOS,140.0
Kyle Tucker,2022,HOU,130.0
Bo Bichette,2022,TOR,129.0
Michael Harris II,2022,ATL,137.0
Steven Kwan,2022,CLE,125.0
Carlos Correa,2022,MIN,139.0
Willy Adames,2022,MIL,109.0
Marcus Semien,2022,TEX,107.0
Will Smith,2022,LAD,127.0
Eugenio Suarez,2022,SEA,132.0
Alejandro Kirk,2022,TOR,129.0
Corey Seager,2022,TEX,117.0
Daulton Varsho,2022,ARI,106.0
Nico Hoerner,2022,CHC,108.0
Cal Raleigh,2022,SEA,122.0
George Springer,2022,TOR,133.0
Yandy Diaz,2022,TBR,145.0
Christian Walker,2022,ARI,122.0
Travis d'Arnaud,2022,ATL,121.0
Matt Chapman,2022,TOR,118.0
Pete Alonso,2022,NYM,141.0
Jose Abreu,2022,CHW,137.0
Jose Trevino,2022,NYY,90.0
Juan Soto,2022,- - -,146.0
Taylor Ward,2022,LAA,136.0
Ian Happ,2022,CHC,122.0
Cedric Mullins,2022,BAL,106.0
Shohei Ohtani,2022,LAA,142.0
Jake Cronenworth,2022,SDP,109.0
Ha-seong Kim,2022,SDP,105.0
Willson Contreras,2022,CHC,134.0
Starling Marte,2022,NYM,133.0
Byron Buxton,2022,MIN,135.0
Elvis Andrus,2022,- - -,104.0
Vladimir Guerrero Jr.,2022,TOR,132.0
Jeremy Pena,2022,HOU,102.0
Adolis Garcia,2022,TEX,112.0
Nathaniel Lowe,2022,TEX,143.0
Brandon Drury,2022,- - -,123.0
Matt Olson,2022,ATL,121.0
Ryan McMahon,2022,COL,97.0
DJ LeMahieu,2022,NYY,115.0
Amed Rosario,2022,CLE,104.0
Ke'Bryan Hayes,2022,PIT,86.0
Teoscar Hernandez,2022,TOR,130.0
Bryan Reynolds,2022,PIT,123.0
Thairo Estrada,2022,SFG,106.0
Luis Arraez,2022,MIN,130.0
Randy Arozarena,2022,TBR,124.0
Gleyber Torres,2022,NYY,114.0
Gavin Lux,2022,LAD,113.0
Jonah Heim,2022,TEX,99.0
Jorge Mateo,2022,BAL,82.0
Bryce Harper,2022,PHI,139.0
Lars Nootbaar,2022,STL,123.0
Ty France,2022,SEA,127.0
Brendan Donovan,2022,STL,127.0
Gio Urshela,2022,MIN,118.0
Ramon Urias,2022,BAL,105.0
Anthony Rizzo,2022,NYY,131.0
Mark Canha,2022,NYM,126.0
Josh Rojas,2022,ARI,109.0
Trevor Story,2022,BOS,100.0
Jurickson Profar,2022,SDP,110.0
Joc Pederson,2022,SFG,144.0
Hunter Renfroe,2022,MIL,124.0
Rhys Hoskins,2022,PHI,123.0
Ronald Acuna Jr.,2022,ATL,115.0
Isaac Paredes,2022,TBR,115.0
Luis Urias,2022,MIL,110.0
Chas McCormick,2022,HOU,115.0
Santiago Espinal,2022,TOR,100.0
Trayce Thompson,2022,- - -,142.0
Justin Turner,2022,LAD,123.0
Anthony Santander,2022,BAL,121.0
Kolten Wong,2022,MIL,117.0
Wander Franco,2022,TBR,115.0
Bobby Witt Jr.,2022,KCR,98.0
Kyle Schwarber,2022,PHI,129.0
Jake McCarthy,2022,ARI,116.0
Christian Yelich,2022,MIL,111.0
Tim Anderson,2022,CHW,110.0
J.P. Crawford,2022,SEA,105.0
Jon Berti,2022,MIA,88.0
Josh Bell,2022,- - -,124.0
Austin Slater,2022,SFG,124.0
Luis Robert Jr.,2022,CHW,111.0
Tyrone Taylor,2022,MIL,102.0
Jean Segura,2022,PHI,105.0
Jace Peterson,2022,MIL,96.0
Albert Pujols,2022,STL,148.0
William Contreras,2022,ATL,139.0
Andrew Benintendi,2022,- - -,121.0
Seiya Suzuki,2022,CHC,118.0
Dylan Moore,2022,SEA,127.0
Max Muncy,2022,LAD,106.0
Javier Baez,2022,DET,89.0
Brandon Crawford,2022,SFG,87.0
Josh Naylor,2022,CLE,118.0
Eduardo Escobar,2022,NYM,104.0
Christian Vazquez,2022,- - -,99.0
Dylan Carlson,2022,STL,98.0
Brendan Rodgers,2022,COL,94.0
Ketel Marte,2022,ARI,102.0
Luis Guillorme,2022,NYM,104.0
Michael A. Taylor,2022,KCR,88.0
Jose Siri,2022,- - -,75.0
Eloy Jimenez,2022,CHW,143.0
Jorge Polanco,2022,MIN,118.0
Nick Gordon,2022,MIN,110.0
Christopher Morel,2022,CHC,110.0
David Peralta,2022,- - -,104.0
Ryan Mountcastle,2022,BAL,107.0
Luis Rengifo,2022,LAA,102.0
Austin Hays,2022,BAL,105.0
Christian Bethancourt,2022,- - -,99.0
Chris Taylor,2022,LAD,93.0
Trent Grisham,2022,SDP,83.0
Josh Donaldson,2022,NYY,96.0
Max Kepler,2022,MIN,94.0
J.D. Martinez,2022,BOS,119.0
Seth Brown,2022,OAK,115.0
Lourdes Gurriel Jr.,2022,TOR,115.0
Kyle Farmer,2022,CIN,92.0
Tyler O'Neill,2022,STL,99.0
Mike Yastrzemski,2022,SFG,99.0
Josh Harrison,2022,CHW,97.0
Keibert Ruiz,2022,WSN,92.0
Cody Bellinger,2022,LAD,83.0
Victor Caratini,2022,MIL,84.0
Isiah Kiner-Falefa,2022,NYY,84.0
Myles Straw,2022,CLE,65.0
Vinnie Pasquantino,2022,KCR,136.0
Daniel Vogelbach,2022,- - -,126.0
Oscar Gonzalez,2022,CLE,123.0
Evan Longoria,2022,SFG,115.0
Jose Miranda,2022,MIN,116.0
Oneil Cruz,2022,PIT,104.0
Alec Bohm,2022,PHI,98.0
Lane Thomas,2022,WSN,98.0
Brandon Marsh,2022,- - -,90.0
Reese McGuire,2022,- - -,89.0
Gary Sanchez,2022,MIN,88.0
Harrison Bader,2022,- - -,84.0
Tony Kemp,2022,OAK,90.0
Tomas Nido,2022,NYM,72.0
C.J. Cron,2022,COL,103.0
Harold Ramirez,2022,TBR,118.0
Wilmer Flores,2022,SFG,103.0
Jose Iglesias,2022,COL,87.0
Manuel Margot,2022,TBR,104.0
Whit Merrifield,2022,- - -,87.0
Cavan Biggio,2022,TOR,97.0
Bryson Stott,2022,PHI,84.0
Adam Frazier,2022,SEA,82.0
Omar Narvaez,2022,MIL,71.0
Jonathan Schoop,2022,DET,57.0
J.D. Davis,2022,- - -,118.0
Garrett Cooper,2022,MIA,110.0
Eric Haase,2022,DET,111.0
Patrick Wisdom,2022,CHC,106.0
Wil Myers,2022,SDP,103.0
Jack Suwinski,2022,PIT,97.0
Emmanuel Rivera,2022,- - -,95.0
Kevin Newman,2022,PIT,92.0
Leody Taveras,2022,TEX,93.0
Michael Brantley,2022,HOU,128.0
Giancarlo Stanton,2022,NYY,113.0
Alex Verdugo,2022,BOS,102.0
Ozzie Albies,2022,ATL,94.0
Joey Wendle,2022,MIA,82.0
Miguel Rojas,2022,MIA,68.0
Rowdy Tellez,2022,MIL,110.0
Ji-Man Choi,2022,TBR,114.0
Riley Greene,2022,DET,98.0
Yonathan Daza,2022,COL,95.0
Rodolfo Castro,2022,PIT,100.0
Trey Mancini,2022,- - -,104.0
Carlos Santana,2022,- - -,102.0
Aaron Hicks,2022,NYY,89.0
Yan Gomes,2022,CHC,75.0
Nicky Lopez,2022,KCR,55.0
Salvador Perez,2022,KCR,107.0
Aledmys Diaz,2022,HOU,97.0
Jesse Winker,2022,SEA,110.0
Adam Duvall,2022,ATL,88.0
Willi Castro,2022,DET,85.0
Yoan Moncada,2022,CHW,76.0
Alek Thomas,2022,ARI,71.0
Martin Maldonado,2022,HOU,71.0
Keston Hiura,2022,MIL,115.0
TJ Friedl,2022,CIN,102.0
Rafael Ortega,2022,CHC,98.0
Tommy Pham,2022,- - -,90.0
Owen Miller,2022,CLE,86.0
Eric Hosmer,2022,- - -,104.0
Andrew McCutchen,2022,MIL,98.0
Corey Dickerson,2022,STL,96.0
Brandon Lowe,2022,TBR,103.0
A.J. Pollock,2022,CHW,92.0
Ramon Laureano,2022,OAK,94.0
Carson Kelly,2022,ARI,73.0
Bryan De La Cruz,2022,MIA,99.0
Donovan Solano,2022,CIN,99.0
Randal Grichuk,2022,COL,89.0
Tyler Naquin,2022,- - -,92.0
Luis Gonzalez,2022,SFG,95.0
Jesus Sanchez,2022,MIA,88.0
Raimel Tapia,2022,TOR,91.0
Cesar Hernandez,2022,WSN,81.0
Kyle Isbel,2022,KCR,66.0
Nick Allen,2022,OAK,59.0
Luke Voit,2022,- - -,103.0
Jorge Soler,2022,MIA,93.0
Jorge Alfaro,2022,SDP,90.0
Joey Bart,2022,SFG,90.0
Matt Reynolds,2022,- - -,81.0
Victor Robles,2022,WSN,65.0
Christian Arroyo,2022,BOS,102.0
Connor Joe,2022,COL,89.0
Francisco Mejia,2022,TBR,84.0
Enrique Hernandez,2022,BOS,74.0
Gilberto Celestino,2022,MIN,81.0
Tucker Barnhart,2022,DET,63.0
Geraldo Perdomo,2022,ARI,59.0
Charlie Blackmon,2022,COL,91.0
Yadiel Hernandez,2022,WSN,103.0
Gavin Sheets,2022,CHW,99.0
Jonathan India,2022,CIN,95.0
Luis Garcia Jr.,2022,WSN,95.0
Brian Anderson,2022,MIA,85.0
Austin Nola,2022,SDP,89.0
Matt Vierling,2022,PHI,82.0
Rougned Odor,2022,BAL,80.0
Aristides Aquino,2022,CIN,63.0
Mauricio Dubon,2022,- - -,59.0
Yadier Molina,2022,STL,49.0
Nolan Gorman,2022,STL,105.0
Ben Gamel,2022,PIT,95.0
LaMonte Wade Jr.,2022,SFG,93.0
Andrew Velazquez,2022,LAA,49.0
Juan Yepez,2022,STL,107.0
Brandon Belt,2022,SFG,97.0
Victor Reyes,2022,DET,84.0
Joey Gallo,2022,- - -,84.0
Jeimer Candelario,2022,DET,80.0
Robbie Grossman,2022,- - -,82.0
Andrew Knizner,2022,STL,77.0
Austin Hedges,2022,CLE,43.0
Pavin Smith,2022,ARI,87.0
Alfonso Rivas,2022,CHC,85.0
Adam Engel,2022,CHW,63.0
Max Stassi,2022,LAA,63.0
Josh Smith,2022,TEX,68.0
Nick Castellanos,2022,PHI,95.0
Bobby Dalbec,2022,BOS,80.0
Jo Adell,2022,LAA,77.0
Diego Castillo,2022,PIT,71.0
Jacob Stallings,2022,MIA,66.0
Jackie Bradley Jr.,2022,- - -,56.0
Franchy Cordero,2022,BOS,92.0
Marcell Ozuna,2022,ATL,90.0
Harold Castro,2022,DET,93.0
CJ Abrams,2022,- - -,72.0
Vimael Machin,2022,OAK,76.0
Frank Schwindel,2022,CHC,80.0
Nelson Cruz,2022,WSN,87.0
Chad Pinder,2022,OAK,85.0
Mike Moustakas,2022,CIN,76.0
Maikel Franco,2022,WSN,66.0
Yasmani Grandal,2022,CHW,68.0
Taylor Walls,2022,TBR,65.0
Andrew Vaughn,2022,CHW,113.0
MJ Melendez,2022,KCR,97.0
Abraham Toro,2022,SEA,63.0
Jesus Aguilar,2022,- - -,82.0
Michael Chavis,2022,PIT,78.0
Yuli Gurriel,2022,HOU,85.0
Darin Ruf,2022,- - -,89.0
Nick Senzel,2022,CIN,67.0
Sheldon Neuse,2022,OAK,65.0
Joey Votto,2022,CIN,92.0
Jared Walsh,2022,LAA,77.0
Spencer Torkelson,2022,DET,76.0
Franmil Reyes,2022,- - -,81.0
Hunter Dozier,2022,KCR,88.0
Avisail Garcia,2022,MIA,61.0
Cristian Pache,2022,OAK,33.0
Leury Garcia,2022,CHW,38.0
Elias Diaz,2022,COL,68.0
Miguel Cabrera,2022,DET,78.0
Kole Calhoun,2022,TEX,66.0
Eddie Rosario,2022,ATL,63.0
Ronald Acuna Jr.,2023,ATL,172.0
Freddie Freeman,2023,LAD,161.0
